1,rencontre,"Same as Rencounter, n."
2,anomura,"A group of decapod Crustacea, of which the hermit crab in an example."
3,teneriffe,"A white wine resembling Madeira in taste, but more tart, produced in Teneriffe, one of the Canary Islands; -- called also Vidonia."
4,wrongless,"Not wrong; void or free from wrong. [Obs.] -- Wrong""less*ly, adv. [Obs.] Sir P. Sidney."
5,egriot,A kind of sour cherry. Bacon.
6,spectatrix,"A female beholder or looker-on. ""A spectatress of the whole scene."" Jeffrey."
7,expurgatorial,Tending or serving to expurgate; expurgatory. Milman.
8,butcher,"1. One who slaughters animals, or dresses their flesh for market; one whose occupation it is to kill animals for food. "
9,apogeal,Apogean.
10,quinic,"Pertaining to, derived from, or connected with, quinine and related compounds; specifically, designating a nonnitrogenous acid obtained from cinchona bark, coffee, beans, etc., as a white crystalline substance. [Written also chinic, kinic.]"
11,automatical,"1. Having an inherent power of action or motion. Nothing can be said to be automatic. Sir H. Davy. 2. Pertaining to, or produced by, an automaton; of the nature of an automaton; self-acting or self-regulating under fixed conditions; -- esp. applied to machinery or devices in which certain things formerly or usually done by hand are done by the machine or device itself; as, the automatic feed of a lathe; automatic gas lighting; an automatic engine or switch; an automatic mouse. 3. Not voluntary; not depending on the will; mechanical; as, automatic movements or functions. Unconscious or automatic reasoning. H. Spenser. Automatic arts, such economic arts or manufacture as are carried on by self-acting machinery. Ure."
12,neritina,"A genus including numerous species of shells resembling Nerita in form. They mostly inhabit brackish water, and are often delicately tinted."
13,flabellation,The act of keeping fractured limbs cool by the use of a fan or some other contrivance. Dunglison.
14,windgall,A soft tumor or synovial swelling on the fetlock joint of a horse; -- so called from having formerly been supposed to contain air.
15,membranaceous,"1. Same as Membranous. Arbuthnot. 2. (Bot.)  Thin and rather soft or pliable, as the leaves of the rose, peach tree, and aspen poplar."
16,tithingman,"1. (O. Eng. Law)  The chief man of a tithing; a headborough; one elected to preside over the tithing. 2. (Law)  A peace officer; an under constable. 3. A parish officer elected annually to preserve good order in the church during divine service, to make complaint of any disorderly conduct, and to enforce the observance of the Sabbath. [Local, U.S.]"
17,prosenchyma,"A general term applied to the tissues formed of elongated cells, especially those with pointed or oblique extremities, as the principal cells of ordinary wood."
18,pneumatometer,An instrument for measuring the amount of force exerted by the lungs in respiration.
19,expeller,"One who. or that which, expels."
20,platy,Like a plate; consisting of plates.
21,sea purse,"The horny egg case of a skate, and of certain sharks."
22,tchawytcha,"The quinnat salmon. [Local, U.S.]"
23,shuffler,"1. One who shuffles. 2. (Zoöl.)  Either one of the three common American scaup ducks. See Scaup duck, under Scaup."
24,quinaldine,"A colorless liquid of a slightly pungent odor, C9H6N.CH3, first obtained as a condensation product of aldehyde and aniline, and regarded as a derivative of quinoline; -- called also methyl quinoline. [Written also chinaldine.]"
25,interdependency,"Mutual dependence; as, interdependency of interests. De Quincey."
26,bursarship,The office of a bursar.
27,palewise,"In the manner of a pale or pales; by perpendicular lines or divisions; as, to divide an escutcheon palewise."
28,sond,"That which is sent; a message or messenger; hence, also, a visitation of providence; an affliction or trial. [Obs.] Ye have enough, parde, of Goddes sond. Chaucer."
29,unacceptability,The quality of being unacceptable; unacceptableness.
30,underpay,To pay inadequately.
31,ophelic,"Of, pertaining to, or designating, a substance (called ophelic acid) extracted from a plant (Ophelia) of the Gentian family as a bitter yellowish sirup, used in India as a febrifuge and tonic."
32,aft,Near or towards the stern of a vessel; astern; abaft.
33,tetragonal,"1. (Geom.)  Of or pertaining to a tetragon; having four angles or sides; thus, the square, the parallelogram, the rhombus, and the trapezium are tetragonal fingers. 2. (Bot.)  Having four prominent longitudinal angles. 3. (Crystallog.)  Designating, or belonging to, a certain system of crystallization; dimetric. See Tetragonal system, under Crystallization."
34,baccara,"A French game of cards, played by a banker and punters."
35,anencephalic,Without a brain; brainless. Todd & B.
36,attle,Rubbish or refuse consisting of broken rock containing little or no ore. Weale.
37,unprejudiced,"1. Not prejudiced; free from undue bias or prepossession; not preoccupied by opinion; impartial; as, an unprejudiced mind; an unprejudiced judge. 2. Not warped or biased by prejudice; as, an unprejudiced judgment. -- Un*prej""u*diced*ness, n. V. Knox."
38,gyrostatics,"The doctrine or theory of the gyrostat, or of the phenomena of rotating bodies."
39,defoliation,The separation of ripened leaves from a branch or stem; the falling or shedding of the leaves.
40,fragile,"Easily broken; brittle; frail; delicate; easily destroyed. The state of ivy is tough, and not fragile. Bacon. Syn. -- Brittle; infirm; weak; frail; frangible; slight. -- Frag""ile*ly, adv."
41,marcobrunner,A celebrated Rhine wine.
42,insufficiently,In an insufficient manner or degree; unadequately.
43,pelerine,"A woman's cape; especially, a fur cape that is longer in front than behind. PELE'S HAIR Pe""le's hair. [After a Hawaiian goddess associated with the crater Kilauea.]  Glass threads or fibers formed by the wind from bits blown from frothy lava or from the tips of lava jets or from bits of liquid lava thrown into the air. It often collects in thick masses resembling tow."
44,bepurple,To tinge or dye with a purple color.
45,biograph,1.  An animated picture machine for screen projection; a cinematograph. 2.  [Cf. Biography.] A biographical sketch. [Rare]
46,suprascalpulary,"Situated above, or on the anterior side of, the scapula."
47,pectorally,As connected with the breast.
48,larghetto,"Somewhat slow or slowly, but not so slowly as largo, and rather more so than andante."
49,choric,Of or pertaining to a chorus. I remember a choric ode in the Hecuba. Coleridge.
50,sheathless,Without a sheath or case for covering; unsheathed.
51,kind-heartedness,The state or quality of being kind-hearted; benevolence.
52,reluctivity,Specific reluctance.
53,obviation,"The act of obviating, or the state of being obviated."
54,inapt,"Unapt; not apt; unsuitable; inept. -- In*apt""ly, adv. -- In*apt""ness, n."
55,endomorph,"A crystal of one species inclosed within one of another, as one of rutile inclosed in quartz."
56,inexertion,Want of exertion; want of effort; defect of action; indolence; laziness.
57,lowish,Somewhat low. [Colloq.] Richardson.
58,unconsequential,Inconsequential. Johnson.
59,taglock,"An entangled lock, as of hair or wool. Nares."
60,bauble,"1. A trifling piece of finery; a gewgaw; that which is gay and showy without real value; a cheap, showy plaything. The ineffective bauble of an Indian pagod. Sheridan. 2. The fool's club. [Obs.] ""A fool's bauble was a short stick with a head ornamented with an ass's ears fantastically carved upon it."" Nares."
61,postcommunion,"1. (Ch. of Eng. & Prot. Epis. Ch.)  The concluding portion of the communion service. 2. (R. C. Ch.)  A prayer or prayers which the priest says at Mass, after the ablutions."
62,antimonite,1. (Chem.)  A compound of antimonious acid and a base or basic radical. 2. (Min.)  Stibnite.
63,diprotodon,"An extinct Quaternary marsupial from Australia, about as large as the hippopotamus; -- so named because of its two large front teeth. See Illustration in Appendix."
64,volary,See Volery. [Obs.]
65,insanable,Not capable of being healed; incurable; irremediable.
66,appeaser,One who appeases; a pacifier.
67,statically,In a statical manner.
68,forcibleness,The quality of being forcible.
69,fingle-fangle,A trifle. [Low] Hudibras.
70,particulate,"To particularize. [Obs.]

1. Having the form of a particle. 2. Referring to, or produced by, particles, such as dust, minute germs, etc. [R.] The smallpox is a particulate disease. Tyndall."
71,abjudge,To take away by judicial decision. [R.]
72,buskin,"1. A strong, protecting covering for the foot, coming some distance up the leg. The hunted red deer's undressed hide Their hairy buskins well supplied. Sir W. Scott. 2. A similar covering for the foot and leg, made with very thick soles, to give an appearance of elevation to the stature; -- worn by tragic actors in ancient Greece and Rome. Used as a symbol of tragedy, or the tragic drama, as distinguished from comedy. Great Fletcher never treads in buskins here, No greater Jonson dares in socks appear. Dryden."
73,drabbler,"A piece of canvas fastened by lacing to the bonnet of a sail, to give it a greater depth, or more drop."
74,undecane,"A liquid hydrocarbon, C11H24, of the methane series, found in petroleum; -- so called from its containing eleven carbon atoms in the molecule."
75,averment,"1. The act of averring, or that which is averred; affirmation; positive assertion. Signally has this averment received illustration in the course of recent events. I. Taylor. 2. Verification; establishment by evidence. Bacon. 3. (Law)  A positive statement of facts; an allegation; an offer to justify or prove what is alleged. Note: In any stage of pleadings, when either party advances new matter, he avers it to be true, by using this form of words: ""and this he is ready to verify."" This was formerly called an averment. It modern pleading, it is termed a verification. Blackstone."
76,coadunate,"United at the base, as contiguous lobes of a leaf."
77,arithmetical,Of or pertaining to arithmetic; according to the rules or method of arithmetic. Arithmetical complement of a logarithm. See Logarithm. -- Arithmetical mean. See Mean. -- Arithmetical progression. See Progression. -- Arithmetical proportion. See Proportion.
78,postage,"The price established by law to be paid for the conveyance of a letter or other mailable matter by a public post. Postage stamp, a government stamp required to be put upon articles sent by mail in payment of the postage, esp. an adhesive stamp issued and sold for that purpose."
79,insafety,Insecurity; danger. [Obs.]
80,prudential,"1. Proceeding from, or dictated or characterized by, prudence; prudent; discreet; sometimes, selfish or pecuniary as distinguished from higher motives or influences; as, prudential motives. "" A prudential line of conduct."" Sir W. Scott. 2. Exercising prudence; discretionary; advisory; superintending or executive; as, a prudential committee.

That which relates to or demands the exercise of, discretion or prudence; -- usually in the pl. Many stanzas, in poetic measures, contain rules relating to common prudentials as well as to religion. I. Watts."
81,ubiquitariness,"Quality or state of being ubiquitary, or ubiquitous. [R.] Fuller."
82,superfineness,The state of being superfine.
83,needlework,"1. Work executed with a needle; sewed work; sewing; embroidery; also, the business of a seamstress. 2. The combination of timber and plaster making the outside framework of some houses."
84,mantis,"Any one of numerous species of voracious orthopterous insects of the genus Mantis, and allied genera. They are remarkable for their slender grotesque forms, and for holding their stout anterior legs in a manner suggesting hands folded in prayer. The common American species is M. Carolina. Mantis shrimp. (Zoöl.) See Sguilla."
85,progenitorship,The state of being a progenitor.
86,hydroid,"Related to, or resembling, the hydra; of or pertaining to the Hydroidea. -- n.  One of the Hydroideas."
87,cryptographer,"One who writes in cipher, or secret characters."
88,crosshatch,To shade by means of crosshatching.
89,wailful,"Sorrowful; mournful. "" Like wailful widows."" Spenser. ""Wailful sonnets."" Shak."
90,vexed,"1. Annoyed; harassed; troubled. 2. Much debated or contested; causing discussion; as, a vexed question."
91,acquaintedness,State of being acquainted; degree of acquaintance. [R.] Boyle.
92,scabrousness,The quality of being scabrous.
93,helminthite,"One of the sinuous tracks on the surfaces of many stones, and popularly considered as worm trails."
94,sol,"1. The sun. 2. (Alchem.)  Gold; -- so called from its brilliancy, color, and value. Chaucer.

(a) A syllable applied in solmization to the note G, or to the fifth tone of any diatonic scale. (b) The tone itself.

1. A sou. 2. A silver and gold coin of Peru. The silver sol is the unit of value, and is worth about 68 cents."
95,procreate,To generate and produce; to beget; to engender.
96,aliped,"Wing-footed, as the bat. -- n.  An animal whose toes are connected by a membrane, serving for a wing, as the bat."
97,bucranium,"A sculptured ornament, representing an ox skull adorned with wreaths, etc."
98,brusk,Same as Brusque.
99,beckon,"To make a significant sign to; hence, to summon, as by a motion of the hand. His distant friends, he beckons near. Dryden. It beckons you to go away with it. Shak.

A sign made without words; a beck. ""At the first beckon."" Bolingbroke. BECK'S SCALE Beck's scale.  A hydrometer scale on which the zero point corresponds to sp. gr. 1.00, and the 30º-point to sp. gr. 0.85. From these points the scale is extended both ways, all the degrees being of equal length."
100,homogamous,"Having all the flowers alike; -- said of such composite plants as Eupatorium, and the thistels."
101,pod,"1. A bag; a pouch. [Obs. or Prov. Eng.] Tusser. 2. (Bot.)  A capsule of plant, especially a legume; a dry dehiscent fruit. See Illust. of Angiospermous. 3. (Zoöl.)  A considerable number of animals closely clustered together; -- said of seals. Pod auger, or pod bit, an auger or bit the channel of which is straight instead of twisted.

To swell; to fill; also, to produce pods."
102,subsellium,One of the stalls of the lower range where there are two ranges. See Illust. of Stall.
103,kholah,The Indian jackal.
104,isonitroso-,"A combining from (also used adjectively), signifying: Pertaining to, or designating, the characteristic, nitrogenous radical, NOH, called the isonitroso group."
105,villanel,A ballad. [Obs.] Cotton.
106,calced,Wearing shoes; calceated; -- in distintion from discalced or barefooted; as the calced Carmelites.
107,disinteress,"To deprive or rid of interest in, or regard for; to disengage. [Obs.]"
108,theologize,"To render theological; to apply to divinity; to reduce to a system of theology. School divinity was but Aristotle's philosophy theologized. Glanvill.

To frame a system of theology; to theorize or speculate upon theological subjects."
