1,thank you,"thug-zee che, thukjeche","thug-zee che, thukjeche",ཐུགས་རྗེ་ཆེ་,ཐུགས་རྗེ་ཆེ་,2001
2,greetings,"kuzu zangpo, kusu sangpo","kuzu zangpo, kusu sangpo",སྐུ་བཟུ་བཟང་པོ་,སྐུ་བཟུ་བཟང་པོ་,2001
3,farewell,shap-kyal,,ཞབས་སྐྱེལ་,,2001
4,where?,"gana, ghana","gana, ghana",ག་ན་,ག་ན་,"2001, 2004 [2005]"
5,what?,"ghan bo, khamu","ghan bo, khamu","གན་རྦོ་, ཁ་མུ","གན་རྦོ་, ཁ་མུ",2004 [2005]
6,when?,nam,nam,ནམ,ནམ,2001
7,who?,ka,ka,ཀ་,ཀ་,2001
8,how,"katem, gha tem","Katem, gha tem","ཀ་ཐེམ, ག་ཏེམ་","ཀ་ཐེམ, ག་ཏེམ་",2001
9,"sorry, apologize",gongmati,zhothsol,གོངས་མ་ཏེད,བཟོད་གསོལ་,2001
10,yes,"lags, lei","lags, lei",ལགས ,ལགས་ཡིན་,2001
11,no,me,me,མེ,མེ,2001
12,name,tshan,ming,མཚན་,མིང,2001
13,my,"nge ki, ngahi","nge ki, gnahi","ངེའི་ཁྱི་, ངེའི་","ངེའི་ཁྱི་, ངེའི་","BLDWG, 2004 [2005]"
14,I,nga,nga,ང་,ང་,2001
15,you,"rang, rang lengey","chhoth, chod","་རང, རང་ལེན་གེ་",ཆོད་,BLDWG
16,good,"leg, lem","leg, lem",ལེགས་,ལེགས་,2001
17,bad,"nyes, ma-legs, ma ley, kyo kyo","nyes, ma-legs, ma ley, kyo kyo","ཉེས་, མ་ལེགས་, ཀྱོ་ཀྱོ་","ཉེས་, མ་ལེགས་, ཀྱོ་ཀྱོ་","2001, 2004 [2005]"
18,understand,ha-gho,shesshhor,ཧ་གོ ,ཤེས་ཆོར་,2001
19,know,khen,"shes, she",་མཁྱེན་,ཤེས་,2004 [2005]
20,1,chig,chig,གཅིག་,གཅིག་,2001
21,2,nyid,nyid,གཉིས་,གཉིས་,2001
22,3,sum,sum,གསུམ་,གསུམ་,2001
23,4,shi,shi,བཞི་,བཞི་,2001
24,5,nga,nga,ལྔ་,ལྔ་,2001
25,6,drug,drug,དྲུག་,དྲུག་,2001
26,7,dun,dun,བདུན་,བདུན་,2001
27,8,"ged, gyat","ged, gyat",བརྒྱད་,བརྒྱད་,"2001, 2004 [2005]"
28,9,gu,gu,དགུ་,དགུ་,2001
29,10,chu/ chu tampa,chu,བཅུ་/ ཐམ་པ་,བཅུ་ཐམ་པ་,2001
30,11,chu-chig,chu-chig,བཅུ་གཅིག་,བཅུ་གཅིག་,2001
31,12,chungi,chungi,བཅུ་གཉིས་,བཅུ་གཉིས་,2001
32,13,chusum,chusum,བཅུ་གསུམ,བཅུ་གསུམ,2001
33,14,chuzee,chuzee,བཅུ་བཞི་,བཅུ་བཞི་,2001
34,15,chonga,chonga,བཅུ་ལྔ་,བཅུ་ལྔ་,2001
35,16,chu drug,chu drug,བཅུ་དྲུག་,བཅུ་དྲུག་,2001
36,17,chu dune,chu dune,་བཅུ་བདུན་,་བཅུ་བདུན་,2001
37,18,chupgey,chupgey,བཅོ་བརྒྱད་,བཅོ་བརྒྱད་,2001
38,19,chugu,chugu,བཅུ་དགུ་,བཅུ་དགུ་,2001
39,20,"kechik, nyishu","kechik, nyishu",ཀེ་གཅིག་/ ཉི་ཤུ་,ཀེ་གཅིག་,2001
40,100,gyacig,gyacig,བརྒྱ་གཅིག་,བརྒྱ་གཅིག་,BLDWG
41,1000,tongtacig,tongtacig,སྟོང་ཏ་གཅིག་,སྟོང་ཏ་གཅིག་,BLDWG
42,Mother,Yum,A ma,ཡུམ་,ཨ་མ་ལགས,2001
43,Father,"Yab, Pa lags",A-ba,"ཡབ་་, པ་ལགས་",ཨ་བ་,2001
44,Older sister,Aila,Ashi,ཨཻ་ལགས་,ཨ་ཞི་,2001
45,Younger sister,,"Num, Busem",,"ནུམ, ་བུ་སིམ་",BLDWG
46,Older brother,Agya,A chu,ཨ་རྒྱ་,ཨ་ཅུ་,2001
47,Younger brother,Pillo,Pilbo,པི་ལཨོགས་,པི་ལཨོགས་,BLDWG
48,Maternal aunt (younger),A nyi la,Ani,ཨ་ནི་ལགས་,ཨ་ཉི་,2001
49,Paternal aunt (younger),Amchungla,Am chung,ཨམ་གཅུང་་ལགས་,ཨམ་གཅུང་,2001
50,Maternal uncle (younger),"A shangla, Ajala","A shangs, Aja",ཨ་ཞང་་ལགས་,ཨ་ཞང་,2001
51,Paternal uncle (younger),Akula,Aku,ཨ་ཀུ་་ལགས་,ཨ་ཀུ་,2001
52,son,sres,bu,སྲས་,བུ་,2001
53,daughter,"sem, srean",bumo ,སྲས་མོ་,བུ་མོ་,2001
54,grandson,tsapyuk,tsapyuk,ཚ་ཕྱུག་,ཚ་ཕྱུག་,BLDWG
55,granddaughter,tsam,tsam,ཚམ་,ཚམ་,BLDWG
56,nephew,tsa-phyug,tsa-phyug,ཚ་ཕྱུག་,ཚ་ཕྱུག་,BLDWG
57,niece,tsam,tsam,ཚམ་,ཚམ་,BLDWG
58,great grandson,yangpuk,yangpuk,ཡང་ཕྱུག་,ཡང་ཕྱུག་,BLDWG
59,,,,,,
60,dog,kyi,kyi,ཁྱི་,ཁྱི་,2001
61,cat,ali,ali,ཨལི་,ཨལི་,BLDWG
62,cow,"ngo, bha",ngo,"ནོ་, ་བ་",ནོ་,2001
63,bird,"pichung, bya",pichung,"བྱི་ཅུང་, , བྱ་",བྱི་ཅུང་,BLDWG
64,pig,phag-ko,phag-ko,ཕག་ཀོ་,ཕག་ཀོ་,2001
65,rat,pitsi,pitsi,བྱི་ཙི་,བྱི་ཙི་,2001
66,animal,"seam chen, semcan","seam chen, semcan",སེམས ཅན་,སེམས ཅན་,2001
67,fish,nya,nya,ཉ་,ཉ་,2001
68,horse,ta,ta,རྟ་,རྟ་,BLDWG
69,yak,yak,yak,གཡག་,གཡག་,BLDWG
70,car,motor,lhang khor,མོ་ཏོ་,རླངས་འཁོར་,2001
71,road,lam,lam,ལམ་,ལམ་,2001
72,boat,chudrul,chudrul,ཆུ་གྲུ་,ཆུ་གྲུ་,2001
73,hat,u-sha,"shamo, sham-bu",དབུ་ཞྭ་,"ཞྭ་མོ་, ཞམ་བུ་",2001
74,clothing,namsa,kola,ནམ་བཟའ་,གོས་ལགས་,2001/ BLDWG
75,head,u,go,དབུ་,མགོ་,BLDWG
76,nose,shangs,na gug,ཤངས་,སྣ་གུག་,2001
77,mouth,shal,kha,ཞལ་,ཁ་ ,2001
78,eyes,"chan, chyan",mig,སྤྱན་,མིག,BLDWG
79,tongue,jags,choe,ལྗགས་,ལྕེ་,2001
80,hands,"chyag, chak",lag-ko,ཕྱག་ ,ལག་ཀོ་,2001
81,feet,zhab,kang leb,ཞབས,རྐང་ལེབ་,"2001, 2004 [2005]"
82,leg,zhab,khang po,ཞབས,རྐང་པོ་,"BLDWG, 2004 [2005]"
83,arms,,lag-nya,,ལག་ཉ་,BLDWG
84,body,"kuzu, kusu",lu,སྐུ་གཟུགས་,ལུས་,BLDWG
85,brain,"lhethpo, let po, le po","lhethpo, let po, le po",ཀླད་པོ་,ཀླད་པོ་,"2001, 2004 [2005]"
86,heart,donying,donying,དོ་སྙིང་,དོ་སྙིང་,2001
87,blood,khyag,khyag,ཁྱག་,ཁྱག་,"2001, 2004 [2005]"
88,sickness/illness,na,na,ན་,ན་,BLDWG
89,shoulder,pungpo,pungpo,པུང་པོ་,པུང་པོ་,BLDWG
90,elbow,kiling,kiling,ཀི་ལིང་,ཀི་ལིང་,2004 [2005]
91,heel, tingpo, tingpo," ཏིན་པོ་, ", ཏིན་པོ་,2004 [2005]
92,top,teng,teng,སྟེང་,སྟེང་,2001
93,"down, lower, bottom",hog,hog,འོག་,འོག་,2001
94,left,yoen,yoen,གཡོན་,གཡོན་,2001
95,right,yas,yas,གཡས་,གཡས་,2001
96,north,jyang,jyang,བྱང་,བྱང་,2001
97,south,lho,lho,ལྷོ་,ལྷོ་,2001
98,east ,shar,shar,ཤར་,ཤར་,2001
99,west,Nub,Nub,ནུབ་,ནུབ་,BLDWG
100,Monday,Zadawo,Zadawo,གཟའ་ཟླ་བ་,གཟའ་ཟླ་བ་,BLDWG
101,Tuesday,Zamigmar,Zamigmar,གཟའ་མིག་དམར་,གཟའ་མིག་དམར་,BLDWG
102,Wednesday,Zalhako,Zalhako,གཟའ་ལྷག་པ་,གཟའ་ལྷག་པ་,BLDWG
103,Thursday,Zaphurbo,Zaphurbo,གའཟ་ཕུར་བུ་,གའཟ་ཕུར་བུ་,BLDWG
104,Friday,Zapasang,Zapasang,གཟའ་པ་སངས་,གཟའ་པ་སངས་,BLDWG
105,Saturday,Zapenpo,Zapenpo,གཟའ་སྤེན་པ་,གཟའ་སྤེན་པ་,BLDWG
106,Sunday,Zanyima,Zanyima,གཟའཉི་མ་,གཟའཉི་མ་,BLDWG
107,question,"dewa, kha di",,"དྲི་བ་, ཁ་འདྲི་",,2004 [2005]
108,again,"yangkyar, log chen, log te ra",,"ཡང་སྐྱར་, ལོག་ཅན་, ལོག་ཏེ་ར་",,2001/ BLDWG
109,all,"yongdom, yongzogs, thamcath",,"ཡོངས་བསྡོམ་, ཡོངས་རྫོགས་, ཐམས་ཅད་",,2001
110,"further, still, even",darong,,ད་རོང་,,2001
111,any,gandrey,,གན་འདྲེ་,གན་འདྲེ་,2001
112,and,dang,,དང་,,BLDWG
113,here,na,,ན་,,2001
114,there,ona,,འོ་ན་,,BLDWG
115,"he, they (gender neutral pronoun)",khong,kho,ཁོང་,ཁོ་,2001
116,she,khong,mo,ཁོང་,མོ་,2001
117,"they, them, themselves","khongtso, khocheg",,"ཁོང་ཚོ་, ཁོ་ཅག་",,2004 [2005]
118,his,khong ki,khoi,ཁོང་གི་,ཁོའི་,BLDWG
119,hers,khong ki,moi,ཁོང་གི་,མོའི་,BLDWG
120,theirs,khongtsho ki,khongtshay,ཁོང་ཚོ་གི་,ཁོང་ཚོའི་,BLDWG
121,later,gyabley,,གྱབ་ལས་,,BLDWG
122,earlier,haley,,ཧ་ལས་,,BLDWG
123,maybe,yintro,,ཡིན་ཏྲོ་,,BLDWG
124,many,"key po, mang-po",key po,"ཀེས་པོ་་, མང་པོ་",ཀེས་པོ་་,2001
125,few,nyoung,shulcig,ཉུང་,ཤུལ་ཅིག་,2001
126,"close, shut",tsum,,བཙུམ་,,2001
127,only,chuko,,ཅུ་ཀོ་,,BLDWG
128,others,jomey,shen,ཇོ་མེ་,གཞན་,2001
129,hard,"tag drag, thig",tag drag,"ཀྲག་དྲགས་, མཁྲེགས་",ཀྲག་དྲགས་,"2001, 2004 [2005]"
130,soft,sop,,སོབ་,,2001
131,some,khashes,lala,ཁ་ཤས་,ལ་ལ་,2001
132,start,go,,འགོ་,,2001
133,finish,"drup, dzog-po, lhag, droi",,"སྒྲུབ་, རྫོགས་པོ་, ལྷག. སྒྲོས་་","སྒྲུབ་, རྫོགས་པོ་","2001, 2004 [2005]"
134,that person,odey mi,,འོད་དི་མི་,,BLDWG
135,this person,di mi,,དི་མི་,,BLDWG
136,those people,odey mitsho,,འོད་་དི་མི་ཙོ་,,BLDWG
137,these people,di mitsho,,འདི་མི་ཙོ་,,BLDWG
138,turn it off,sim,,སིམ་,,BLDWG
139,light blue,ngo-kya,སྔོ་སྐྱ་,,,2001
140,wait,zhu,gug,ཞུགས་,སྒུག་,BLDWG/ 2004[2005]
141,places,yul,,ཡུལ་,,BLDWG
142,"house, home",khyim,zim-khang,ཁྱིམ་,གཟིམ་ཁང་,2001
143,bank,ngul-khang,,དངུལ་ཁང་,,BLDWG
144,school,lhopdra,,སློབ་གྲྭ་,,2001
145,hospital,men-khang,,སྨན་ཁང་,,2001
146,city,grongkher,,གྲོང་ཁྱེར་,,BLDWG
147,village,"gyong, kyong, gyang",,"གྱོང་, གྱང་",,2004 [2005]
148,hotel,zim-khang,nyal-khang,གཟིམ་ཁང་,ངལ་ཁང་,2004 [2005]
149,prison,tsan,,བཙན་,,2001
150,monastery,"gonpo, gonpa, gompa",,དགོན་པོ་,དགོན་པོ་,2001
151,church,yishu lhakhang,,ཡི་ཤུ་ལྷ་ཁང་,,BLDWG
152,temple,lha khang,,ལྷ་ཁང་,,BLDWG
153,restaurant,za-khang,,ཟ་ཁང་,,2001
154,country,yule,,ཡུལ་,,2001
155,time,khap,khap,སྐབས་,སྐབས་,2001
156,year,gunglo,rab-lo (according to Tibetan calendar),དགུང་ལོ་,རབ་ལོ་,2001
157,month,dawa,,ཟླ་བ་,,BLDWG
158,week,dun-thak,,བདུན་ཕྲག་,,2001
159,day,nyim,,ཉི་མ་,,BLDWG
160,January,Yin lo Daw dangpo,,ཡིན་ལོ་ཟླ་བ་དང་པོ་,,BLDWG
161,February,Yin lo Daw nyidpo,,ཡིན་ལོ་ཟླ་བ་གཉིས་པོ་,,BLDWG
162,March,Yin lo daw sumpo,,ཡིན་ལོ་ཟླ་བ་གསུམ་པོ་,,BLDWG
163,April,Yin lo daw shipo,,ཡིན་ལོ་ཟླ་བ་བཞི་པོ་,,BLDWG
164,May,Yin lo daw ngapo,,ཡིན་ལོ་ཟླ་བ་ལྔ་པོ་,,BLDWG
165,June,Yin lo daw druggo,,ཡིན་ལོ་ཟླ་བ་དྲུག་པོ་,,BLDWG
166,July,Yin lo daw dunpo,,ཡིན་ལོ་ཟླ་བ་བདུན་པོ་,,BLDWG
167,August,Yin lo daw gedpo,,ཡིན་ལོ་ཟླ་བ་བགྱད་པོ,,BLDWG
168,September,Yin lo daw gupo,,ཡིན་ལོ་ཟླ་བ་དགུ་པོ་,,BLDWG
169,October,Yin lo daw chupo,,ཡིན་ལོ་ཟླ་བ་བཅུ་པོ་,,BLDWG
170,November,Yin lo daw chupchi,,ཡིན་ལོ་ཟླ་བ་བཅུ་གཅིག་པོ་,,BLDWG
171,December,Yin lo daw chungi,,ཡིན་ལོ་ཟླ་བ་བཅུ་གཉིས་པོ་,,BLDWG
172,The year 1000,Yishi di lo dongtra gcig,,ཡི་ཤུ་འདས་ལོ་སྟོང་ཕྲག་གཅིག་,,BLDWG
173,The year 2000,Yishu di lo dongtra nyi,,ཡི་ཤུ་འདས་ལོ་སྟོང་ཕྲག་གཉིས་,,BLDWG
174,The year 1910,Yishu di lo chigdong gubgya chu,,ཡི་ཤུ་འདས་ལོ་གཅིག་སྟོང་དགུ་བརྒྱ་བཅུ་,,BLDWG
175,The year 1920,Yishu di lo chigdong gubgya nyishu,,ཡི་ཤུ་འདས་ལོ་གཅིག་སྟོང་དགུ་བརྒྱ་གཉིས་བཅུ་,,BLDWG
176,The year 1930,Yishu di lo  chigdong gubgya sumchu,,ཡི་ཤུ་འདས་ལོ་གཅིག་སྟོང་དགུ་བརྒྱ་གསུམ་བཅུ་,,BLDWG
177,the year 1940,Yishu di lo chigdong gubgya zhibchu,,ཡི་ཤུ་འདས་ལོ་གཅིག་སྟོང་དགུ་བརྒྱ་བཞི་བཅུ་,,BLDWG
178,the year 1950,Yishu di lo chigdong gubgya ngachu,,ཡི་ཤུ་འདས་ལོ་གཅིག་སྟོང་དགུ་བརྒྱ་ལྔ་བཅུ་,,BLDWG
179,the year 1960,Yishu di lo chigdong gubgya  drugchu,,ཡི་ཤུ་འདས་ལོ་གཅིག་སྟོང་དགུ་བརྒྱ་དྲུག་བཅུ་,,BLDWG
180,the year 1970,Yishu di lo chigdong gubgya denchu,,ཡི་ཤུ་འདས་ལོ་གཅིག་སྟོང་དགུ་བརྒྱ་བདུན་བཅུ་,,BLDWG
181,the year 1980,Yishu di lo chigdong gubgya gechu,,ཡི་ཤུ་འདས་ལོ་གཅིག་སྟོང་དགུ་བརྒྱད་བརྒྱད་བཅུ་,,BLDWG
