rencontre,"Same as Rencounter, n."
anomura,"A group of decapod Crustacea, of which the hermit crab in an example."
teneriffe,"A white wine resembling Madeira in taste, but more tart, produced in Teneriffe, one of the Canary Islands; -- called also Vidonia."
wrongless,"Not wrong; void or free from wrong. [Obs.] -- Wrong""less*ly, adv. [Obs.] Sir P. Sidney."
egriot,A kind of sour cherry. Bacon.
spectatrix,"A female beholder or looker-on. ""A spectatress of the whole scene."" Jeffrey."
expurgatorial,Tending or serving to expurgate; expurgatory. Milman.
butcher,"1. One who slaughters animals, or dresses their flesh for market; one whose occupation it is to kill animals for food. "
apogeal,Apogean.
quinic,"Pertaining to, derived from, or connected with, quinine and related compounds; specifically, designating a nonnitrogenous acid obtained from cinchona bark, coffee, beans, etc., as a white crystalline substance. [Written also chinic, kinic.]"
automatical,"1. Having an inherent power of action or motion. Nothing can be said to be automatic. Sir H. Davy. 2. Pertaining to, or produced by, an automaton; of the nature of an automaton; self-acting or self-regulating under fixed conditions; -- esp. applied to machinery or devices in which certain things formerly or usually done by hand are done by the machine or device itself; as, the automatic feed of a lathe; automatic gas lighting; an automatic engine or switch; an automatic mouse. 3. Not voluntary; not depending on the will; mechanical; as, automatic movements or functions. Unconscious or automatic reasoning. H. Spenser. Automatic arts, such economic arts or manufacture as are carried on by self-acting machinery. Ure."
neritina,"A genus including numerous species of shells resembling Nerita in form. They mostly inhabit brackish water, and are often delicately tinted."
flabellation,The act of keeping fractured limbs cool by the use of a fan or some other contrivance. Dunglison.
windgall,A soft tumor or synovial swelling on the fetlock joint of a horse; -- so called from having formerly been supposed to contain air.
membranaceous,"1. Same as Membranous. Arbuthnot. 2. (Bot.)  Thin and rather soft or pliable, as the leaves of the rose, peach tree, and aspen poplar."
tithingman,"1. (O. Eng. Law)  The chief man of a tithing; a headborough; one elected to preside over the tithing. 2. (Law)  A peace officer; an under constable. 3. A parish officer elected annually to preserve good order in the church during divine service, to make complaint of any disorderly conduct, and to enforce the observance of the Sabbath. [Local, U.S.]"
prosenchyma,"A general term applied to the tissues formed of elongated cells, especially those with pointed or oblique extremities, as the principal cells of ordinary wood."
pneumatometer,An instrument for measuring the amount of force exerted by the lungs in respiration.
expeller,"One who. or that which, expels."
platy,Like a plate; consisting of plates.
sea purse,"The horny egg case of a skate, and of certain sharks."
tchawytcha,"The quinnat salmon. [Local, U.S.]"
shuffler,"1. One who shuffles. 2. (Zoöl.)  Either one of the three common American scaup ducks. See Scaup duck, under Scaup."
quinaldine,"A colorless liquid of a slightly pungent odor, C9H6N.CH3, first obtained as a condensation product of aldehyde and aniline, and regarded as a derivative of quinoline; -- called also methyl quinoline. [Written also chinaldine.]"
interdependency,"Mutual dependence; as, interdependency of interests. De Quincey."
bursarship,The office of a bursar.
palewise,"In the manner of a pale or pales; by perpendicular lines or divisions; as, to divide an escutcheon palewise."
sond,"That which is sent; a message or messenger; hence, also, a visitation of providence; an affliction or trial. [Obs.] Ye have enough, parde, of Goddes sond. Chaucer."
unacceptability,The quality of being unacceptable; unacceptableness.
underpay,To pay inadequately.
ophelic,"Of, pertaining to, or designating, a substance (called ophelic acid) extracted from a plant (Ophelia) of the Gentian family as a bitter yellowish sirup, used in India as a febrifuge and tonic."
aft,Near or towards the stern of a vessel; astern; abaft.
