English,Bhutia (Formal),Bhutia (Informal),Bhutia Script (Formal),Bhutia script (Informal),Category,bhutia,english
Thank you,Thukjeche,Thukjeche,ཐུགས་རྗེ་ཆེ་,ཐུགས་རྗེ་ཆེ་,Basic conversation,https://drive.google.com/file/d/1cumgcN3rFO5wIxdP2It8tqu_3Sjwq53o/preview?usp=sharing,https://drive.google.com/file/d/1ABhOpgLPMwQKIoOTFdlbXCEtVAvjXym1/preview?usp=sharing
Greetings,Kuzu Zangpo,Kuzu Zangpo,སྐུ་བཟུ་བཟང་པོ་,སྐུ་བཟུ་བཟང་པོ་,Basic conversation,https://drive.google.com/file/d/1G2JLhUdZ5uAnQPqrsHsmynkYCmr8xwbv/preview?usp=sharing,https://drive.google.com/file/d/1hCtuFeNGgxDiQg3R4sHspYhxzLM7i0o_/preview?usp=sharing
Where?,Khana?,Khana?,ཁ་ན,ཁ་ན,Basic conversation,https://drive.google.com/file/d/1q9dSQzZEcLfCPOibgypqfxgU-y5sCaI2/preview?usp=sharing,https://drive.google.com/file/d/15X48c-G0-D_b0j-URRBRW0Hov_rmU9rB/preview?usp=sharing
What?,Khamu?,Khamu?,ཁ་མུ,ཁ་མུ,Basic conversation,https://drive.google.com/file/d/12KZXnRVi2tege5SPOtO2TwWkn2T0CKuE/preview?usp=sharing,https://drive.google.com/file/d/1E4ff2snNwxNt3PnaQLmVKL2wEe1xPnqD/preview?usp=sharing
When?,Nam?,Nam?,ནམ,ནམ,Basic conversation,https://drive.google.com/file/d/1R8ZbE_rT4rQ5oAN_T1i8WxvvvlQoQcrJ/preview?usp=sharing,https://drive.google.com/file/d/1jIQl2CpjSqyi2hyCDkTtKn0joTpbMhvo/preview?usp=sharing
Who?,Ga?,Ga?,ག,ག,Basic conversation,https://drive.google.com/file/d/1LPoPkKN-RL6K_BDZVlWLtomnGmIPNX-0/preview?usp=sharing,https://drive.google.com/file/d/1AYpkLafq0kP9KItGGzrS8Zf4TuppSSY0/preview?usp=sharing
How,Katem?,Katem?,ཀ་ཐེམ,ཀ་ཐེམ,Basic conversation,https://drive.google.com/file/d/1HAcK6x30r9RXVIrRK8I4XsZAoaIb-FM7/preview?usp=sharing,https://drive.google.com/file/d/1Uih0wL7epXtZvtFexmdUtVap9vxAVfJW/preview?usp=sharing
Sorry,Gongmati,Gongmati,གོངས་མ་ཏེད,གོངས་མ་ཏེད,Basic conversation,https://drive.google.com/file/d/1E26TSVWb9ppU78izKHBfNmml-fDbfF1z/preview?usp=sharing,https://drive.google.com/file/d/16zpHpZ-F9THPzE6-ThVeYbp0ssmlNsBW/preview?usp=sharing
Yes,Lei,Lei,ལགས་ཡིན་,ལགས་ཡིན་,Basic conversation,https://drive.google.com/file/d/10Fl9a_tSCAvSQvxAblA3jR76iiwa20hW/preview?usp=sharing,https://drive.google.com/file/d/14jAFlJ1pqkRhxJsMcdulYhUI8OH8-cRF/preview?usp=sharing
No,Me,Me,མེ,མེ,Basic conversation,https://drive.google.com/file/d/1a5y5sDNT14ry2habMCqSaEkHmyvMiBKq/preview?usp=sharing,https://drive.google.com/file/d/1u_zUsXR0WQ6TlB9-zVcp79xvSaH5khlR/preview?usp=sharing
Name,Ming,Ming,མིང,མིང,Basic conversation,https://drive.google.com/file/d/1Ult3NivKNTR5eE7YVXjD6CABo-CcNKok/preview?usp=sharing,https://drive.google.com/file/d/1ZAcUGvaFnhqC8zxsajfJxhGjbn6xMyTm/preview?usp=sharing
My,Nge ki,Nge ki,ངེའི་ཁྱི་,ངེའི་ཁྱི་,Pronoun,https://drive.google.com/file/d/1zzs73HjXsx5VDpp2Cf_P-z8zLEJjswDd/preview?usp=sharing,https://drive.google.com/file/d/1wHN0taKdJm6EiUZzrEpdiK6DbcHfOOJp/preview?usp=sharing
I,Nga,Nga,ང་,ང་,Pronoun,,
You,Rang,Cho,་རང,ཆོད་,Pronoun,,
Good,Lem,Lem,ལེམ་,ལེམ་,Basic conversation,,
Bad,Nyenda,Nyenda,ཉེན་ད,ཉེན་ད,Basic conversation,,
Understand,Hago,Hago,ཧ་གོགས་,ཧ་གོགས་,Basic conversation,,
Know,Khen,Shes,་མཁྱེན་,ཤེས་,Basic conversation,,
1,chik,chik,གཅིག་,གཅིག་,Number,,
2,nyid,nyid,གཉིས་,གཉིས་,Number,,
3,sum,sum,གསུམ་,གསུམ་,Number,,
4,zhi,zhi,གཞི་,གཞི་,Number,,
5,nga,nga,ལྔ་,ལྔ་,Number,,
6,dug,dug,དྲུག་,དྲུག་,Number,,
7,dern,dern,འདུན,འདུན,Number,,
